Security,Sector,Sub-Sector,City/State,Year,Submission,Score
Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",2023,Submitted,B
Walt Disney Company,Communication Services,Movies & Entertainment,"Burbank, California",2023,Submitted,B
Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York",2023,Submitted,Not Scored
Waste Management,Industrials,Environmental & Facilities Services,"Houston, Texas",2023,No Response,F
Waters Corporation,Health Care,Life Sciences Tools & Services,"Milford, Massachusetts",2023,Submitted,B-
WEC Energy Group,Utilities,Electric Utilities,"Milwaukee, Wisconsin",2023,Submitted,Not Scored
Wells Fargo,Financials,Diversified Banks,"San Francisco, California",2023,Submitted,Not Scored
Welltower,Real Estate,Health Care REITs,"Toledo, Ohio",2023,Submitted,B
West Pharmaceutical Services,Health Care,Health Care Supplies,"Exton, Pennsylvania",2023,Submitted,B
Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",2023,Submitted,B
Weyerhaeuser,Real Estate,Timber REITs,"Seattle, Washington",2023,Submitted,A-
Williams Companies,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",2023,Submitted,A-
Willis Towers Watson,Financials,Insurance Brokers,"London, United Kingdom",2023,See Another,C
Wynn Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",2023,No Response,F
Xcel Energy,Utilities,Multi-Utilities,"Minneapolis, Minnesota",2023,No Response,F
Xylem,Industrials,Industrial Machinery & Supplies & Components,"White Plains, New York",2023,Submitted,B
Yum! Brands,Consumer Discretionary,Restaurants,"Louisville, Kentucky",2023,Submitted,A-
Zebra Technologies,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",2023,Submitted,B
Zimmer Biomet,Health Care,Health Care Equipment,"Warsaw, Indiana",2023,Submitted,A
Zoetis,Health Care,Pharmaceuticals,"Parsippany, New Jersey",2023,Submitted,B
