Security,Sector,State,City,Response,Year,Submission,Score,Score Numeric
Whirlpool Corporation,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",Climate Change 2023,2023,Submitted,A-,95
Wingstop,Consumer Discretionary,Restaurants,"Addison, Texas",Climate Change 2023,2023,No Response,F,0
Advanced Drainage Systems,Industrials,Building Products,"Hilliard, Ohio",Climate Change 2023,2023,Submitted,Not Scored,
W. P. Carey,Real Estate,Diversified REITs,"New York City, New York",Climate Change 2023,2023,No Response,F,0
Williams-Sonoma,Consumer Discretionary,Homefurnishing Retail,"San Francisco, California",Climate Change 2023,2023,Submitted,B,85
Watsco,Industrials,Trading Companies & Distributors,"Miami, Florida",Climate Change 2023,2023,No Response,F,0
Wintrust Financial,Financials,Regional Banks,"Rosemont, Illinois",Climate Change 2023,2023,No Response,F,0
Essential Utilities,Utilities,Water Utilities,"Bryn Mawr, Pennsylvania",Climate Change 2023,2023,Submitted,B-,80
Watts Water Technologies,Industrials,Building Products,,Climate Change 2023,2023,No Response,F,0
Western Union,Financials,Transaction & Payment Processing Services,"Denver, Colorado",Climate Change 2023,2023,Submitted,Not Scored,
Woodward,Industrials,Electrical Components & Equipment,"Fort Collins, Colorado",Climate Change 2023,2023,No Response,F,0
XPO,Industrials,Cargo Ground Transportation,"Greenwich, Connecticut",Climate Change 2023,2023,No Response,F,0
Dentsply Sirona,Health Care,Health Care Supplies,"Charlotte, North Carolina",Climate Change 2023,2023,Submitted,C,75
Yeti Holdings,Consumer Discretionary,Leisure Products,"Austin, Texas",Climate Change 2023,2023,Submitted,Not Available,
ZoomInfo,Communication Services,Interactive Media & Services,"Vancouver, Washington",Climate Change 2023,2023,Submitted,D,65
Zions Bancorporation,Financials,Regional Banks,"Salt Lake City, Utah",Climate Change 2023,2023,No Response,F,0
